Project,Area,Zone,Type,Bed,Bath,Size (sqft),Tenure,Price (RM),Installment (RM/mo),Rental Unfurnished,CF Unfurnished,Rental Partial,CF Partial,Rental Fully,CF Fully,Yield% Partial,Yield% Fully,CF Rating (Best Case),Cash Out (RM),Break-even Unfurnished (Year),Break-even Partial (Year),Break-even Fully (Year),5yr ROI%,10yr ROI%,20yr ROI%,Ann.Ret% 5yr,Ann.Ret% 10yr,Ann.Ret% 20yr,Exit Value 10yr (RM),Equity 10yr (RM),Equity Gain 10yr (RM),Cumulative CF Unfurnished 10yr (RM),Cumulative CF Partial 10yr (RM),Cumulative CF Fully 10yr (RM),Selling Cost 10yr (RM),Equity Gain 10yr Net of Selling Cost (RM),Rental Source,Date Added,Code,Source Link
Vista Alam Serviced Apartment,Shah Alam,Seksyen 14,Service Residence,2,2.0,911,Freehold,390000,1778,1350,-428,1550,-228,2450,672,4.77,7.54,🟢 Strong,65700,17,12,5,68.3,195.6,520.6,13.7,19.6,26.0,475408,194224,128524,-51360,-27360,80640,18879,109645,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 1650.0->1350 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,MMN,https://telegram.me/HaniMNListingSubsale/312
Tiara Imperio,Bangi,Jalan Ilmiah,Studio,1,1.0,450,Freehold,260000,1186,1050,-136,1200,14,1500,314,5.54,6.92,🟢 Strong,48800,12,9,6,51.2,165.5,457.5,10.2,16.6,22.9,316939,129583,80783,-16320,1680,37680,13586,67197,[Partial] Exact - 1 listing(s) | Tiara Imperio | [Fully] Exact - 1 listing(s) | Tiara Imperio | [Unfurnished] Est. from Partial,9/7/2026,EXP,https://telegram.me/extremeproperty_listing/19534
Pangsapuri Sri Aman,Petaling Jaya / Damansara,Seksyen 22,Flat,3,2.0,650,Leasehold,250000,1140,1000,-140,1300,160,2350,1210,6.24,11.28,🟢 Strong,47500,13,7,3,49.3,162.2,450.5,9.9,16.2,22.5,304749,124541,77041,-16800,19200,145200,13179,63862,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=11) | Petaling Jaya / Damansara | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17841
Sri Ros Apartment,Kajang,Sungai Chua,Apartment,3,2.0,773,Freehold,250000,1140,1000,-140,1100,-40,1350,210,5.28,6.48,🟡 Neutral,47500,13,10,7,49.3,162.2,450.5,9.9,16.2,22.5,304749,124541,77041,-16800,-4800,25200,13179,63862,[Fully] Fuzzy - 1 listing(s) | Sri Ixora Apartment | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16805
Platinum Lake PV 10 Condominium,Setapak,Setapak,Condominium,4,2.0,1272,Leasehold,470000,2143,2000,-143,2750,607,3300,1157,7.02,8.43,🟢 Strong,76100,9,5,4,75.2,207.6,545.8,15.0,20.8,27.3,572927,234107,158007,-17160,72840,138840,22136,135871,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Zone PSF Avg, Strata all sizes (RM2.18/sqft, n=3) | Setapak | [Fully] Zone PSF Avg, Strata all sizes (RM2.13/sqft, n=4) | Setapak | CORRECTED (audit 19/07/2026): Fully 2700.0->3300 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10422
Changkat View Condominium,Kuala Lumpur,Dutamas,Condominium,2,2.0,1038,Freehold,450000,2052,1900,-152,2100,48,3100,1048,5.6,8.27,🟢 Strong,73500,10,8,4,73.7,205.0,540.3,14.7,20.5,27.0,548547,224174,150674,-18240,5760,125760,21321,129353,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12904
Apartment Duta Perintis,Puncak Alam,Alam Suria,Apartment,3,2.0,850,Leasehold,330000,1505,1350,-155,1500,-5,2150,645,5.45,7.82,🟢 Strong,57900,11,9,4,61.7,184.0,496.2,12.3,18.4,24.8,402268,164424,106524,-18600,-600,77400,16436,90088,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide",12/7/2026,CND,https://telegram.me/ciknadhartanahmurahlisting/514
Putra Suria Residence,Kuala Lumpur,Taman Ikan Emas,Apartment,3,2.0,748,Leasehold,330000,1505,1350,-155,1500,-5,2250,745,5.45,8.18,🟢 Strong,57900,11,9,4,61.7,184.0,496.2,12.3,18.4,24.8,402268,164424,106524,-18600,-600,89400,16436,90088,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14846
Residensi Pandanmas 2,Kuala Lumpur,Kg Pandan,Condominium,3,2.0,900,-,385000,1756,1600,-156,1850,94,2200,444,5.77,6.86,🟢 Strong,65050,10,7,5,67.9,194.9,519.2,13.6,19.5,26.0,469313,191854,126804,-18720,11280,53280,18675,108129,[Partial] Exact - 2 listing(s) | Residensi Pandanmas 2 | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,27/6/2026,EXP,https://telegram.me/extremeproperty_listing/19175
Simfoni 2 Residences,Kajang,Bandar Teknologi Kajang,Condominium,4,3.0,1038,Leasehold,400000,1824,1250,-574,1450,-374,1750,-74,4.35,5.25,🟠 Mild -ve,67000,23,15,9,69.3,197.4,524.4,13.9,19.7,26.2,487598,199266,132266,-68880,-44880,-8880,19286,112980,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1650.0->1250 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12752
Casa Idaman,Sentul,Kampung Batu Muda,Condominium,3,2.0,1007,Leasehold,380000,1733,1550,-183,1900,167,2400,667,6,7.58,🟢 Strong,64400,11,7,5,67.4,194.0,517.3,13.5,19.4,25.9,463218,189333,124933,-21960,20040,80040,18471,106462,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.88/sqft, n=6) | Sentul | [Fully] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=12) | Sentul",17/6/2026,EXP,https://telegram.me/extremeproperty_listing/18739
Tiara Duta Condominium,Ampang,Ampang,Condominium,3,2.0,1001,Leasehold,380000,1733,1550,-183,2350,617,2800,1067,7.42,8.84,🟢 Strong,64400,11,5,4,67.4,194.0,517.3,13.5,19.4,25.9,463218,189333,124933,-21960,74040,128040,18471,106462,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Zone PSF Avg, Strata all sizes (RM2.80/sqft, n=3) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9072
Residensi KLIA,Nilai,Residensi KLIA,Serviced Residence,3,2.0,962,Freehold,370000,1687,1500,-187,1700,13,2050,363,5.51,6.65,🟢 Strong,63100,11,8,6,66.3,192.1,513.1,13.3,19.2,25.7,451028,184290,121190,-22440,1560,43560,18064,103126,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM1.33/sqft, n=5) | Nilai | CORRECTED (audit 19/07/2026): Fully 1300.0->2050 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/901
Juta Mines Condominium,Seri Kembangan,Seri Kembangan,Condominium,3,2.0,901,Leasehold,350000,1596,900,-696,1050,-546,2550,954,3.6,8.74,🟢 Strong,60500,,26,4,64.1,188.2,505.1,12.8,18.8,25.3,426648,174357,113857,-83520,-65520,114480,17250,96607,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 1400.0->900 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9861
Saville @ Taman Melawati,Kuala Lumpur,Taman Melawati,Service Residence,3,2.0,1007,Freehold,450000,2052,1850,-202,2000,-52,3000,948,5.33,8,🟢 Strong,73500,10,9,4,73.7,205.0,540.3,14.7,20.5,27.0,548547,224174,150674,-24240,-6240,113760,21321,129353,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17908
Habitus @ City of Elmina,Shah Alam,Denai Alam,Condominium,1,1.0,450,Freehold,220000,1003,650,-353,750,-253,1200,197,4.09,6.55,🟡 Neutral,43600,28,20,7,43.1,151.3,427.6,8.6,15.1,21.4,268179,109566,65966,-42360,-30360,23640,11957,54009,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 800.0->650 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",20/4/2026,EXP,https://telegram.me/extremeproperty_listing/16603
BSP 21,Puchong,Bandar Saujana Putra,Service Residence,1,1.0,610,Leasehold,265000,1208,800,-408,900,-308,1350,142,4.08,6.11,🟡 Neutral,49450,26,19,7,52.0,166.8,460.2,10.4,16.7,23.0,323034,131953,82503,-48960,-36960,17040,13789,68714,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.61/sqft, n=3) | Puchong | [Partial] Area PSF Avg, Strata all sizes (RM1.48/sqft, n=15) | Puchong | [Fully] Area PSF Avg, Strata all sizes (RM2.22/sqft, n=12) | Puchong | CORRECTED (audit 19/07/2026): Unfurnished 1000.0->800 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/269
Double Storey Terrace Taman Bukit Belimbing,Seri Kembangan,Bukit Belimbing,Landed Terrace,4,3.0,1800,Freehold,475000,2166,1950,-216,2250,84,2550,384,5.68,6.44,🟢 Strong,76750,6,5,4,127.3,326.9,859.1,25.5,32.7,43.0,670034,327640,250890,-25920,10080,46080,25379,225511,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/15394
Rumah Awam Kos Rendah Batu 15 Jalan Semenyih,Kajang,Batu 15 Jalan Semenyih,1 Storey Terrace,2,1.0,1000,Leasehold,300000,1368,800,-568,900,-468,1400,32,3.6,5.6,🟡 Neutral,54000,10,9,5,104.0,283.2,761.0,20.8,28.3,38.0,423180,206931,152931,-68160,-56160,3840,17134,135797,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Area PSF Avg, Landed all sizes (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1150.0->800 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",27/6/2026,EXP,https://telegram.me/extremeproperty_listing/19198
Endah Ria Condominium,Kuala Lumpur,Sri Petaling,Condominium,3,2.0,946,Leasehold,355000,1619,1400,-219,1600,-19,1900,281,5.41,6.42,🟡 Neutral,61150,12,9,6,64.7,189.3,507.3,12.9,18.9,25.4,432743,176879,115729,-26280,-2280,33720,17454,98275,[Fully] Exact - 1 listing(s) | Endah Ria Condominium | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,28/3/2026,EXP,https://telegram.me/extremeproperty_listing/15962
One Damansara Condo,Petaling Jaya / Damansara,Damansara Damai,Condominium,3,2.0,986,Leasehold,380000,1733,1500,-233,1700,-33,3550,1817,5.37,11.21,🟢 Strong,64400,12,9,3,67.4,194.0,517.3,13.5,19.4,25.9,463218,189333,124933,-27960,-3960,218040,18471,106462,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Zone PSF Avg, Strata all sizes (RM1.73/sqft, n=3) | Damansara Damai | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",14/4/2026,MMN,https://telegram.me/HaniMNListingSubsale/484
Nusari Aman 2,Nilai,Bandar Sri Sendayan,2 Storey Terrace,4,3.0,2316,Freehold,600000,2736,2500,-236,2900,164,3250,514,5.8,6.5,🟢 Strong,94000,5,4,4,134.4,340.3,889.2,26.9,34.0,44.5,846359,413861,319861,-28320,19680,61680,31268,288593,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,ZYP,https://telegram.me/zikriyussofperundinghartanah/1065
Crystal Tower Condominium,Ampang,Taman Bukit Indah,Condominium,3,2.0,897,Leasehold,359000,1637,1400,-237,2100,463,3000,1363,7.02,10.03,🟢 Strong,61670,12,5,3,65.1,190.0,508.8,13.0,19.0,25.4,437619,178835,117165,-28440,55560,163560,17616,99549,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10504
Empire City Colonial Loft,Petaling Jaya / Damansara,Damansara Perdana,Duplex,1,2.0,900,Leasehold,350000,1596,1350,-246,1800,204,2950,1354,6.17,10.11,🟢 Strong,60500,13,7,3,64.1,188.2,505.1,12.8,18.8,25.3,426648,174357,113857,-29520,24480,162480,17250,96607,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=11) | Petaling Jaya / Damansara | [Fully] Zone PSF Avg, Strata all sizes (RM3.30/sqft, n=4) | Damansara Perdana",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17851
Desa Mutiara Apartment,Petaling Jaya / Damansara,Mutiara Damansara,Apartment,3,2.0,670,Freehold,275000,1254,1000,-254,1350,96,2400,1146,5.89,10.47,🟢 Strong,50750,16,8,3,53.7,169.9,466.7,10.7,17.0,23.3,335223,136995,86245,-30480,11520,137520,14196,72049,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=11) | Petaling Jaya / Damansara | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/893
Ampang Putra Residensi,Ampang,Taman Putra Sulaiman,Condominium,3,2.0,1290,Leasehold,499000,2276,2000,-276,3050,774,4300,2024,7.33,10.34,🟢 Strong,79870,11,5,3,77.3,211.3,553.7,15.5,21.1,27.7,608278,248669,168799,-33120,92880,242880,23316,145483,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13960
Mutiara Condominium,Ampang,Taman Bukit Indah,Condominium,3,2.0,1033,Leasehold,419000,1911,1600,-311,2450,539,3450,1539,7.02,9.88,🟢 Strong,69470,13,5,3,71.1,200.5,531.0,14.2,20.1,26.6,510759,208785,139315,-37320,64680,184680,20059,119256,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",2/7/2026,EXP,https://telegram.me/extremeproperty_listing/19353
Sentrovue Service Apartment,Puncak Alam,Puncak Alam,Service Apartment,3,2.0,842,Leasehold,255000,1163,850,-313,1000,-163,1200,37,4.71,5.65,🟡 Neutral,48150,20,13,9,50.2,163.9,454.1,10.0,16.4,22.7,310844,127062,78912,-37560,-19560,4440,13382,65530,[Partial] Fuzzy - 1 listing(s) | Sentrovue Apartment | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,10/4/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1026
Cubic Botanical,Kuala Lumpur,Pantai Dalam,Condominium,2,1.0,650,Freehold,420000,1915,1600,-315,1750,-165,2100,185,5,6,🟡 Neutral,69600,13,10,7,71.1,200.6,531.0,14.2,20.1,26.6,511978,209199,139599,-37800,-19800,22200,20100,119499,[Fully] Exact - 1 listing(s) | Cubic Botanical | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,17/5/2026,EXP,https://telegram.me/extremeproperty_listing/17546
Residensi Rimbun,Kajang,Kajang 2,Condominium,2,1.0,597,Freehold,278000,1268,950,-318,1050,-218,1250,-18,4.53,5.4,🟠 Mild -ve,51140,19,14,9,54.2,170.9,468.8,10.8,17.1,23.4,338880,138538,87398,-38160,-26160,-2160,14319,73079,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Zone PSF Avg, Strata all sizes (RM1.75/sqft, n=6) | Kajang 2 | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Fully 1000.0->1250 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/857
2 Storey Terrace Bandar Mahkota Cheras,Cheras,Bandar Mahkota Cheras,2 Storey Terrace,4,3.0,2340,Freehold,620000,2827,2500,-327,2900,73,3300,473,5.61,6.39,🟢 Strong,96800,6,5,4,135.2,341.8,892.5,27.0,34.2,44.6,874571,427626,330826,-39240,8760,56760,32211,298615,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",17/6/2026,EXP,https://telegram.me/extremeproperty_listing/18779
1 Storey Terrace Kampung Pendamar II,Klang,Pandamaran,1 Storey Terrace,3,1.0,1220,Leasehold 62 yrs,450000,2052,1400,-652,1600,-452,1700,-352,4.27,4.53,🟠 Mild -ve,73500,8,7,6,124.8,322.3,848.8,25.0,32.2,42.4,634769,310396,236896,-78240,-54240,-42240,24201,212695,"[Unfurnished] Area PSF Avg, Landed all sizes (RM1.38/sqft, n=4) | Klang | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1700.0->1400 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",15/6/2026,MMN,https://telegram.me/HaniMNListingSubsale/563
Suria Jaya Apartment,Shah Alam,Seksyen 16,Apartment,2,2.0,550,Freehold,300000,1368,850,-518,950,-418,1450,82,3.8,5.8,🟡 Neutral,54000,30,23,8,57.6,176.8,481.0,11.5,17.7,24.1,365698,149449,95449,-62160,-50160,9840,15214,80235,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 1000.0->850 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14437
KSL Blossom Square (Type B),Shah Alam,Setia Alam,Serviced Apartment,2,1.0,650,Freehold,345789,1577,900,-677,1050,-527,1450,-127,3.64,5.03,🟠 Mild -ve,59953,,25,10,63.6,187.4,503.4,12.7,18.7,25.2,421515,172290,112337,-81240,-63240,-15240,17079,95258,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Zone PSF Avg, Strata all sizes (RM1.58/sqft, n=3) | Setia Alam | [Fully] Zone PSF Avg, Strata all sizes (RM2.20/sqft, n=5) | Setia Alam | CORRECTED (audit 19/07/2026): Unfurnished 1200.0->900 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",18/5/2026,,New Launch ÃƒÂ¢Ã‚â‚¬Ã‚â€ Freehold Serviced Apartment
SkyPark @ Cyberjaya,Cyberjaya / Putrajaya,Jalan Teknokrat / Cyberjaya City Centre,Serviced Residence,2,1.0,556,Freehold,270000,1231,850,-381,1000,-231,1150,-81,4.44,5.11,🟠 Mild -ve,50100,23,15,11,52.8,168.4,463.5,10.6,16.8,23.2,329128,134474,84374,-45720,-27720,-9720,13993,70381,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM2.10/sqft, n=11) | Cyberjaya / Putrajaya",22/4/2026,FDZ,https://telegram.me/fideszchannel/1427
Ampang Prima Condominium,Ampang,Bandar Baru Ampang,Condominium,3,2.0,1001,Leasehold (2098),425000,1938,1550,-388,2350,412,3350,1412,6.64,9.46,🟢 Strong,70250,14,6,3,71.6,201.4,532.7,14.3,20.1,26.6,518073,211720,141470,-46560,49440,169440,20304,121166,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",4/6/2026,EXP,https://telegram.me/extremeproperty_listing/18087
Residensi Anggerik Wira,Kajang,Kampung Baru Sungai Makau,Condominium,3,2.0,1052,Freehold,350000,1596,1200,-396,1400,-196,1700,104,4.8,5.83,🟡 Neutral,60500,18,12,7,64.1,188.2,505.1,12.8,18.8,25.3,426648,174357,113857,-47520,-23520,12480,17250,96607,[Partial] Exact - 1 listing(s) | Residensi Anggerik Wira | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14810
Univ 360 Place,Seri Kembangan,Serdang,Serviced Apartment,3,2.0,982,Leasehold,429000,1956,1000,-956,1150,-806,2800,844,3.22,7.83,🟢 Strong,70770,,,4,71.9,201.9,533.9,14.4,20.2,26.7,522949,213676,142906,-114720,-96720,101280,20466,122440,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 1550.0->1000 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11797
Taman Maju,Kajang,Jalan Semenyih,2 Storey Terrace,3,3.0,1400,Freehold,440000,2006,1100,-906,1250,-756,1950,-56,3.41,5.32,🟠 Mild -ve,72200,11,9,5,123.8,320.3,844.2,24.8,32.0,42.2,620663,303438,231238,-108720,-90720,-6720,23730,207508,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Area PSF Avg, Landed all sizes (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1600.0->1100 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13887
